순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE","K022831493","9791169794930","","대원씨아이(만화)","이노우에 타케히코 지음","20,000","18,000","2,000","10%","1,000점","20230216","356655"
"2","국내도서","세이노의 가르침","K732831392","9791168473690","03190","데이원","세이노 지음","7,200","6,480","720","10%","360점","20230302","541195"
"3","국내도서","주식 시세의 비밀","K162831528","9791197871269","03320","프런트페이지","정재호 지음","22,000","19,800","2,200","10%","1,100점","20230220","104470"
"4","국내도서","김미경의 마흔 수업","K672831500","9791198013026","03320","어웨이크북스","김미경 지음","18,000","16,200","1,800","10%","900점","20230215","154420"
"5","국내도서","사이토 히토리의 1퍼센트 부자의법칙","K582831511","9791197389450","03190","나비스쿨","사이토 히토리 지음, 김진아 옮김","17,000","15,300","1,700","10%","850점","20230130","120130"
"6","국내도서","슬램덩크 그로부터 10일 후 (SLAM DUNK 10 DAYS AFTER)","8925218801","9788925218809","07650","대원씨아이(만화)","이노우에 다케히코 그림","15,000","13,500","1,500","10%","750점","20071115","106566"
"7","국내도서","슬램덩크 신장재편판 2","K012533843","9791133487523","07830","대원씨아이(만화)","이노우에 타케히코 지음","6,500","5,850","650","10%","320점","20180822","152831"
"8","국내도서","슬램덩크 신장재편판 1","K092533843","9791133487516","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180823","156091"
"9","국내도서","슬램덩크 신장재편판 3","K032533843","9791133487530","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","146722"
"10","국내도서","정세현의 통찰","K392831114","9791156754039","03440","푸른숲","정세현 지음","19,000","17,100","1,900","10%","950점","20230216","59260"
"11","국내도서","만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션)","K392830163","9791190538510","03180","메이븐","김혜남 지음","17,200","15,480","1,720","10%","860점","20221111","200945"
"12","국내도서","슬램덩크 신장재편판 6","K112533843","9791133487561","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","139257"
"13","국내도서","슬램덩크 신장재편판 20","K632534992","9791133487707","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","144442"
"14","국내도서","슬램덩크 신장재편판 5","K172533843","9791133487554","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","143210"
"15","국내도서","아버지의 해방일지","8936438832","9788936438838","03810","창비","정지아 지음","15,000","13,500","1,500","10%","750점","20220902","327481"
"16","국내도서","슬램덩크 신장재편판 4","K152533843","9791133487547","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","141192"
"17","국내도서","슬램덩크 신장재편판 19","K612534992","9791133487691","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","140417"
"18","국내도서","슬램덩크 챔프","K482831469","9791169792974","","대원씨아이(만화)","이노우에 다케히코 지음","15,000","13,500","1,500","10%","750점","20230106","151130"
"19","국내도서","슬램덩크 신장재편판 7","K382534269","9791133487578","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20180918","136280"
"20","국내도서","슬램덩크 신장재편판 18","K672534992","9791133487684","07830","대원씨아이(만화)","이노우에 타케히코 지음","6,500","5,850","650","10%","320점","20181114","137540"
"21","국내도서","슬램덩크 신장재편판 9","K342534269","9791133487592","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20180918","134861"
